Mine ID,Mine Name_x,Commodity,Mine Status,Status Date,Type of Mine,Mine Name_y,Street,City,State,Zip Code,full_address,lat,lon
100011,Imerys Sylacauga Operations,"Crushed, Broken Marble",Active,11/14/1975,Surface,Imerys Sylacauga Operations,1301 Gene E Stewart Blvd.,Sylacauga,Alabama,35151.0,"1301 Gene E Stewart Blvd., Sylacauga, Alabama 35151.0",33.156325844828,-86.297580617235
100535,"Core Aggregates, LLC",Construction Sand and Gravel,Active,1/7/1976,Surface,"Core Aggregates, LLC",498 Sand Pit Rd,Clayhatchee,Alabama,36322.0,"498 Sand Pit Rd, Clayhatchee, Alabama 36322.0",,
100578,Bellwood Sand Plant,Construction Sand and Gravel,Active,4/1/1977,Surface,Bellwood Sand Plant,822 Sandpit Road,Chancellor,Alabama,36316.0,"822 Sandpit Road, Chancellor, Alabama 36316.0",31.150026314279,-85.801232887583
100584,BRICKYARD PLANT,Construction Sand and Gravel,Abandoned,12/5/2007,Surface,BRICKYARD PLANT,1443 Brickyard Road,Phoenix City,Alabama,36867.0,"1443 Brickyard Road, Phoenix City, Alabama 36867.0",,
100616,Spruce Pine Sand & Gravel,Construction Sand and Gravel,Abandoned,1/8/2003,Surface,Spruce Pine Sand & Gravel,710 Sandusky Rd.,Phil Campbell,Alabama,35581.0,"710 Sandusky Rd., Phil Campbell, Alabama 35581.0",34.379389706922,-87.730959019393
100617,Hurtsboro Plant,Construction Sand and Gravel,Active,2/26/1976,Surface,Hurtsboro Plant,12701 N. Hwy 51 South,Hurtsboro,Alabama,36860.0,"12701 N. Hwy 51 South, Hurtsboro, Alabama 36860.0",,
100622,Jemison Mine And Plant,Construction Sand and Gravel,Abandoned,11/10/2015,Surface,Jemison Mine And Plant,910 Highway 38,Jemison,Alabama,35085.0,"910 Highway 38, Jemison, Alabama 35085.0",32.970180985661,-86.766737171006
100678,Cosby #1 Pit,Construction Sand and Gravel,Active,2/28/1972,Surface,Cosby #1 Pit,637  River Road,Selma,Alabama,36701.0,"637  River Road, Selma, Alabama 36701.0",32.39956723136,-86.99113896991
100697,Tuscaloosa Plant,Construction Sand and Gravel,Active,12/27/1984,Surface,Tuscaloosa Plant,2400 Crabtree Road,Tuscaloosa,Alabama,35405.0,"2400 Crabtree Road, Tuscaloosa, Alabama 35405.0",33.141113251777,-87.562817862137
100703,Garris Pit,Construction Sand and Gravel,Abandoned,8/19/2008,Facility,Garris Pit,Hwy 43 North,Leroy,Alabama,36548.0,"Hwy 43 North, Leroy, Alabama 36548.0",,
100714,Waugh Plant,Construction Sand and Gravel,Abandoned,7/29/2005,Surface,Waugh Plant,2301 Alexander Road,Waugh,Alabama,36064.0,"2301 Alexander Road, Waugh, Alabama 36064.0",32.399413376147,-86.039891268649
100719,GILMORE PIT,Construction Sand and Gravel,Abandoned,2/19/2008,Surface,GILMORE PIT,Hwy 41,Wallace,Alabama,36526.0,"Hwy 41, Wallace, Alabama 36526.0",,
