Mine ID,Mine Name,Street,City,State,Zip Code,Commodity,Mine Status,Status Date,Type of Mine
100011,Imerys Sylacauga Operations,1301 Gene E Stewart Blvd.,Sylacauga,Alabama,35151.0,"Crushed, Broken Marble",Active,11/14/1975,Surface
100535,"Core Aggregates, LLC",498 Sand Pit Rd,Clayhatchee,Alabama,36322.0,Construction Sand and Gravel,Active,1/7/1976,Surface
100578,Bellwood Sand Plant,822 Sandpit Road,Chancellor,Alabama,36316.0,Construction Sand and Gravel,Active,4/1/1977,Surface
100617,Hurtsboro Plant,12701 N. Hwy 51 South,Hurtsboro,Alabama,36860.0,Construction Sand and Gravel,Active,2/26/1976,Surface
100678,Cosby #1 Pit,637  River Road,Selma,Alabama,36701.0,Construction Sand and Gravel,Active,2/28/1972,Surface
100697,Tuscaloosa Plant,2400 Crabtree Road,Tuscaloosa,Alabama,35405.0,Construction Sand and Gravel,Active,12/27/1984,Surface
101138,Scott Pit,1322 Maron Spillway Road,Elmore,Alabama,36025.0,Construction Sand and Gravel,Active,11/8/1993,Surface
101983,Smith Sand Company Inc,6570 Spice Pond Road,Eight Mile,Alabama,36613.0,Construction Sand and Gravel,Active,8/20/2010,Surface
102087,Cypress Pit,1235 Cuttoff Road,Moundville,Alabama,35474.0,Construction Sand and Gravel,Active,12/27/1984,Surface
102606,COGLE PIT,3163 Dallas Rd 17,Selma,Alabama,36701.0,Construction Sand and Gravel,Active,11/9/1989,Surface
102738,West Alabama Sand & Gravel,146 County Road 136,Fayette,Alabama,35555.0,Construction Sand and Gravel,Active,8/25/1987,Surface
102810,OAKMULGEE  CRUSHER,1000 SUNNY LANE,SELMA,Alabama,36701.0,Construction Sand and Gravel,Active,7/22/2024,Surface
102814,Phenix City Mine,1371 Brickyard Rd,Phenix City,Alabama,36867.0,Construction Sand and Gravel,Active,2/7/2025,Surface
102822,P & R Mining,2068 Jack Rd.,Atmore,Alabama,36502.0,Construction Sand and Gravel,Active,8/2/2006,Surface
102865,Tysonville Plant,751 Boyd Road,Shorter,Alabama,36075.0,Construction Sand and Gravel,Active,10/12/2021,Surface
102883,Dawson Pit,3533 Kelley Ave,Monroeville,Alabama,36460.0,Construction Sand and Gravel,Active,3/25/2024,Surface
103005,Rabbit Creek Pit,700 Waterway Road,Jackson,Alabama,36545.0,Construction Sand and Gravel,Active,6/5/2012,Surface
103041,Turkey Creek Sand and Gravel Inc,347 County Road 24,Winfield,Alabama,35594.0,Construction Sand and Gravel,Active,10/1/2005,Surface
103047,Blount Springs Sand Plant,9741 US Hwy 31 South,Hayden,Alabama,35079.0,Construction Sand and Gravel,Active,9/19/2012,Surface
103084,City Pit,2155 Riverside Road,Montgomery,Alabama,36117.0,Construction Sand and Gravel,Active,7/22/2024,Surface
103130,B & R Sand & Gravel,5198 Alabama River Pkwy.,Montgomery,Alabama,36110.0,Construction Sand and Gravel,Active,7/8/2010,Surface
103149,NASAG PIT 2,2113 CR#75,Phil Campbell,Alabama,35581.0,Construction Sand and Gravel,Active,4/14/1999,Surface
103159,Rueggs Pit,13406 Co Rd 65,Foley,Alabama,36535.0,Construction Sand and Gravel,Active,7/7/1999,Surface
103223,White City Plant,1985 Co. Rd. 123,Marbury,Alabama,36051.0,Construction Sand and Gravel,Active,1/25/2013,Surface
103241,"Little Hawk Mining, LLC",1449 Experiment Farm Road,Monroeville,Alabama,36460.0,Construction Sand and Gravel,Intermittent,7/30/2025,Surface
103248,Jackson Plant 713,784 Ryland Pike Road,Jackson,Alabama,36473.0,Construction Sand and Gravel,Active,2/7/2007,Surface
103324,"Baldwin Sand & Gravel, LLC.",8303 Roy Waters Road,Foley,Alabama,36535.0,Construction Sand and Gravel,Active,3/3/2014,Surface
103327,Coosa Plant,246 Boatfield Lane,Gadsden,Alabama,35901.0,"Sand, Common",Active,7/6/2005,Surface
103331,Landsdown,170 County Road 40E,"Lowndesboro,",Alabama,36752.0,"Sand, Common",Active,1/13/2021,Surface
103352,Smith Mine,7668 County Road 24,Clanton,Alabama,35045.0,Construction Sand and Gravel,Active,7/5/2017,Surface
103357,Phenix City Plant II,400 State Docks Road,Phenix City,Alabama,36869.0,Construction Sand and Gravel,Active,3/25/2019,Surface
103363,Lambert Materials,1552 Banks McDade Rd.,Shorter,Alabama,36075.0,Construction Sand and Gravel,Active,10/5/2007,Surface
103386,Lynn Nolen Construction,Lynd Road,Grand Bay,Alabama,36541.0,Construction Sand and Gravel,Active,12/4/2019,Surface
103399,Red Eagle,1405 RED EAGLE ROAD ,MONTGOMERY,Alabama,36110.0,Construction Sand and Gravel,Active,8/13/2009,Surface
103401,Cedar Creek Pit,WELKA RD.,FLOMATON ,Alabama,36441.0,Construction Sand and Gravel,Active,7/6/2023,Surface
103427,Pope Pit #2,496 Indian Ridge Rd.,Whatley,Alabama,36482.0,Construction Sand and Gravel,Intermittent,10/1/2024,Surface
103477,SARDINE,3028 ALGER ROAD,ATMORE,Alabama,36502.0,Construction Sand and Gravel,Active,12/2/2014,Surface
103488,QUALITY SAND & GRAVEL LLC,723 CO RD 802,IDER,Alabama,35981.0,Construction Sand and Gravel,TempIdle,3/18/2025,Surface
103507,Jackson Quarry,801 Falling Leaf Rd,Jackson,Alabama,36545.0,Construction Sand and Gravel,Active,7/15/2020,Surface
103517,Meadows,3714 County Road 40 E,Lowndesboro,Alabama,36752.0,Construction Sand and Gravel,Active,1/12/2018,Surface
103524,Repton Mine,"Highway 84, Old Federal Road",Repton,Alabama,36475.0,Construction Sand and Gravel,Active,8/6/2018,Surface
103543,Red Mountain Rock,893 AD Clark RD,Castleberry,Alabama,36432.0,Construction Sand and Gravel,Active,12/19/2020,Surface
103544,SDAC OZ,815 Hunter Loop Road,Montgomery,Alabama,36108.0,"Sand, Common",Active,2/7/2022,Surface
103546,Pearson Pit,650 COUNTY ROAD 19 NORTH,AUTAUGAVILLE,Alabama,36067.0,Construction Sand and Gravel,Active,6/22/2021,Surface
103571,"All Star Sand & Gravel, Inc.",700 Blue Ridge Road,Winfield,Alabama,35594.0,Construction Sand and Gravel,Active,2/27/2024,Surface
103579,Ground Works Materials,566 tuberose lane,Deatsville ,Alabama,36022.0,Construction Sand and Gravel,Active,1/24/2024,Surface
103580,Prevo Sand ,340 Thames Rd,Frisco City,Alabama,36445.0,"Sand, Common",Active,4/19/2023,Surface
200620,TACNA SAND & GRAVEL LLC,38375 E. County 3 1/4 Street,Roll,Arizona,85347.0,Construction Sand and Gravel,Active,12/7/1978,Surface
200632,SUN CITY PLANT,14521 North 115th Avenue,El Mirage,Arizona,85335.0,Construction Sand and Gravel,Active,11/15/2010,Surface
200649,Tangerine Road Pit,10200 W TANGERINE RD,MARANA,Arizona,85653.0,Construction Sand and Gravel,Active,5/9/2014,Surface
200717,CEMEX - CASA GRANDE,2305 S. Rooftile Road,Casa Grande,Arizona,85122.0,Construction Sand and Gravel,Active,2/5/1985,Surface
200728,Tri County Materials Inc.,3215 US Highway 191 South,Safford,Arizona,85546.0,Construction Sand and Gravel,Active,2/2/2013,Surface
200740,TONTO PIT,496 E. Slate Creek Drive,Tonto Basin,Arizona,85553.0,Construction Sand and Gravel,Intermittent,10/23/2025,Surface
200758,Silver Creek,1950 BULLHEAD PARKWAY,BULLHEAD CITY,Arizona,86442.0,Construction Sand and Gravel,Intermittent,3/20/2025,Surface
200988,CEMEX - 19TH AVE,3640 S 19th Ave,Phoenix,Arizona,85009.0,Construction Sand and Gravel,Active,7/4/1976,Surface
201062,Hualapai Pit,3125 E Rosslynn Dr,Kingman,Arizona,86401.0,Construction Sand and Gravel,Active,11/23/2011,Surface
201203,ORANGE GROVE,6601 N. Casa Grande Highway,Tucson,Arizona,85743.0,Construction Sand and Gravel,Active,10/2/2005,Surface
201217,0SCREENING PLANT & SHOP,10333 E McDowell,Scottsdale,Arizona,85256.0,Construction Sand and Gravel,Intermittent,10/1/2021,Surface
201221,Airport Pit,1234 E AIRPORT RD,SAFFORD,Arizona,85546.0,Construction Sand and Gravel,Active,4/1/2012,Surface
201222,Yavapai Plant 22,5899 WILKINSON DRIVE,PRESCOTT,Arizona,86301.0,Construction Sand and Gravel,Active,2/15/1973,Surface
201249,CEMEX - GLOBE/BIXBY,401 E Hoopes Road,Globe,Arizona,85501.0,Construction Sand and Gravel,Active,3/14/1980,Surface
201315,OSBORN WASH,30600 Riverside Dr.,Parker,Arizona,85344.0,Construction Sand and Gravel,Active,2/3/2014,Surface
201398,Aztec plant,2095 Papermill Rd,Taylor,Arizona,85939.0,Construction Sand and Gravel,Active,5/12/2023,Surface
201433,Mine #1,3914 E. Presidio Street,Mesa,Arizona,85215.0,Construction Sand and Gravel,Intermittent,11/6/2023,Surface
202013,Star Placer dba:  Big Bug Sand & Gravel,11501 E Finley Rd,Mayer,Arizona,86333.0,Construction Sand and Gravel,Active,5/8/2013,Surface
202062,CEMEX - SIERRA VISTA,5231 E Buffalo Soldier Trail,Sierra Vista,Arizona,85635.0,Construction Sand and Gravel,Active,8/17/1993,Surface
202116,Santan Pit,2126 N TANNER RD,SACATON,Arizona,851470926.0,Construction Sand and Gravel,Active,11/30/1987,Surface
202135,Prescott Valley Pit,2400 GLASSFORD HILL RD,Prescott Valley,Arizona,86314.0,Construction Sand and Gravel,Active,10/23/2025,Surface
